Kinases (NCBI_Gene_symbol),Entrez Gene_ID (Kinase),description,type_of_gene,map_location, Substrate (NCBI_Gene_symbol),Entrez Gene_ID (Substrate),description,type_of_gene,map_location
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,CRKL,1399,v-crk sarcoma virus CT10 oncogene homolog (avian)-like,protein-coding,22q11.21
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,EMD,2010,emerin,protein-coding,Xq28
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,DDX5,1655,DEAD (Asp-Glu-Ala-Asp) box helicase 5,protein-coding,17q21
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,PIK3AP1,118788,phosphoinositide-3-kinase adaptor protein 1,protein-coding,10q24.1
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,NCOA3,8202,nuclear receptor coactivator 3,protein-coding,20q12
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,RB1,5925,retinoblastoma 1,protein-coding,13q14.2
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,ABL2,27,v-abl Abelson murine leukemia viral oncogene homolog 2,protein-coding,1q25.2
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,PRKD1,5587,protein kinase D1,protein-coding,14q11
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,ATR,545,ataxia telangiectasia and Rad3 related,protein-coding,3q23
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,GNB2L1,10399,"guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1",protein-coding,5q35.3
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,TP63,8626,tumor protein p63,protein-coding,3q28
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,RAD52,5893,RAD52 homolog (S. cerevisiae),protein-coding,12p13-p12.2
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,LASP1,3927,LIM and SH3 protein 1,protein-coding,17q11-q21.3
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,WAS,7454,Wiskott-Aldrich syndrome,protein-coding,Xp11.4-p11.21
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,PARK2,5071,"parkinson protein 2, E3 ubiquitin protein ligase (parkin)",protein-coding,6q25.2-q27
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,JUN,3725,jun proto-oncogene,protein-coding,1p32-p31
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,ERCC6,2074,"excision repair cross-complementing rodent repair deficiency, complementation group 6",protein-coding,10q11.23
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,RAD51,5888,RAD51 homolog (S. cerevisiae),protein-coding,15q15.1
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,PDK1,5163,"pyruvate dehydrogenase kinase, isozyme 1",protein-coding,2q31.1
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,NFKBIA,4792,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha",protein-coding,14q13
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,CTTN,2017,cortactin,protein-coding,11q13
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,CAV1,857,"caveolin 1, caveolae protein, 22kDa",protein-coding,7q31.1
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,CDKN1B,1027,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)",protein-coding,12p13.1-p12
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,PDGFRB,5159,"platelet-derived growth factor receptor, beta polypeptide",protein-coding,5q33.1
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,NCK1,4690,NCK adaptor protein 1,protein-coding,3q21
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,CD19,930,CD19 molecule,protein-coding,16p11.2
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,GPX1,2876,glutathione peroxidase 1,protein-coding,3p21.3
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,ROBO1,6091,"roundabout, axon guidance receptor, homolog 1 (Drosophila)",protein-coding,3p12
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,MET,4233,met proto-oncogene (hepatocyte growth factor receptor),protein-coding,7q31
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,MYLK,4638,myosin light chain kinase,protein-coding,3q21
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,RAD9A,5883,RAD9 homolog A (S. pombe),protein-coding,11q13.1-q13.2
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,LGALS3,3958,"lectin, galactoside-binding, soluble, 3",protein-coding,14q22.3
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,ABI1,10006,abl-interactor 1,protein-coding,10p11.2
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,BCR,613,breakpoint cluster region,protein-coding,22q11.23
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,TP73,7161,tumor protein p73,protein-coding,1p36.3
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,NFAT5,10725,"nuclear factor of activated T-cells 5, tonicity-responsive",protein-coding,16q22.1
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,MDM2,4193,"MDM2 oncogene, E3 ubiquitin protein ligase",protein-coding,12q14.3-q15
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,TOP1,7150,topoisomerase (DNA) I,protein-coding,20q12-q13.1
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,ANXA1,301,annexin A1,protein-coding,9q21.13
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,CEBPB,1051,"CCAAT/enhancer binding protein (C/EBP), beta",protein-coding,20q13.1
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22
ABL1,25,"c-abl oncogene 1, non-receptor tyrosine kinase",protein-coding,9q34.1,CTNNB1,1499,"catenin (cadherin-associated protein), beta 1, 88kDa",protein-coding,3p21
ABL2,27,v-abl Abelson murine leukemia viral oncogene homolog 2,protein-coding,1q25.2,CRK,1398,v-crk sarcoma virus CT10 oncogene homolog (avian),protein-coding,17p13.3
ABL2,27,v-abl Abelson murine leukemia viral oncogene homolog 2,protein-coding,1q25.2,HLCS,3141,holocarboxylase synthetase (biotin-(proprionyl-CoA-carboxylase (ATP-hydrolysing)) ligase),protein-coding,21q22.13
ABL2,27,v-abl Abelson murine leukemia viral oncogene homolog 2,protein-coding,1q25.2,SIVA1,10572,"SIVA1, apoptosis-inducing factor",protein-coding,14q32.33
ABL2,27,v-abl Abelson murine leukemia viral oncogene homolog 2,protein-coding,1q25.2,MAPT,4137,microtubule-associated protein tau,protein-coding,17q21.1
ABL2,27,v-abl Abelson murine leukemia viral oncogene homolog 2,protein-coding,1q25.2,CBL,867,"Cbl proto-oncogene, E3 ubiquitin protein ligase",protein-coding,11q23.3
ABL2,27,v-abl Abelson murine leukemia viral oncogene homolog 2,protein-coding,1q25.2,PSMA7,5688,"proteasome (prosome, macropain) subunit, alpha type, 7",protein-coding,20q13.33
ABL2,27,v-abl Abelson murine leukemia viral oncogene homolog 2,protein-coding,1q25.2,GPX1,2876,glutathione peroxidase 1,protein-coding,3p21.3
ABL2,27,v-abl Abelson murine leukemia viral oncogene homolog 2,protein-coding,1q25.2,CAT,847,catalase,protein-coding,11p13
ABL2,27,v-abl Abelson murine leukemia viral oncogene homolog 2,protein-coding,1q25.2,LGALS3,3958,"lectin, galactoside-binding, soluble, 3",protein-coding,14q22.3
ABL2,27,v-abl Abelson murine leukemia viral oncogene homolog 2,protein-coding,1q25.2,CEBPB,1051,"CCAAT/enhancer binding protein (C/EBP), beta",protein-coding,20q13.1
ACVR1,90,"activin A receptor, type I",protein-coding,2q23-q24,MDM2,4193,"MDM2 oncogene, E3 ubiquitin protein ligase",protein-coding,12q14.3-q15
ACVR1,90,"activin A receptor, type I",protein-coding,2q23-q24,FGR,2268,Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog,protein-coding,1p36.2-p36.1
ACVR1,90,"activin A receptor, type I",protein-coding,2q23-q24,OTUD7B,56957,OTU domain containing 7B,protein-coding,1q21.2
ACVR1,90,"activin A receptor, type I",protein-coding,2q23-q24,ORC1,4998,"origin recognition complex, subunit 1",protein-coding,1p32
ACVR1,90,"activin A receptor, type I",protein-coding,2q23-q24,GADD45A,1647,"growth arrest and DNA-damage-inducible, alpha",protein-coding,1p31.2
ACVR1,90,"activin A receptor, type I",protein-coding,2q23-q24,SMAD3,4088,SMAD family member 3,protein-coding,15q22.33
ACVR1,90,"activin A receptor, type I",protein-coding,2q23-q24,E2F3,1871,E2F transcription factor 3,protein-coding,6p22
ACVR1,90,"activin A receptor, type I",protein-coding,2q23-q24,RNF14,9604,ring finger protein 14,protein-coding,5q23.3-q31.1
ACVR1,90,"activin A receptor, type I",protein-coding,2q23-q24,ETS1,2113,v-ets erythroblastosis virus E26 oncogene homolog 1 (avian),protein-coding,11q23.3
ACVR1,90,"activin A receptor, type I",protein-coding,2q23-q24,TRIM24,8805,tripartite motif containing 24,protein-coding,7q32-q34
ACVR1,90,"activin A receptor, type I",protein-coding,2q23-q24,RIPK3,11035,receptor-interacting serine-threonine kinase 3,protein-coding,14q11.2
ACVR1,90,"activin A receptor, type I",protein-coding,2q23-q24,WWP1,11059,WW domain containing E3 ubiquitin protein ligase 1,protein-coding,8q21
ACVR1,90,"activin A receptor, type I",protein-coding,2q23-q24,DNAJB2,3300,"DnaJ (Hsp40) homolog, subfamily B, member 2",protein-coding,2q32-q34
ACVR1,90,"activin A receptor, type I",protein-coding,2q23-q24,RXRG,6258,"retinoid X receptor, gamma",protein-coding,1q22-q23
ACVR1,90,"activin A receptor, type I",protein-coding,2q23-q24,ZBTB44,29068,zinc finger and BTB domain containing 44,protein-coding,11q24.3
ACVR1,90,"activin A receptor, type I",protein-coding,2q23-q24,RPS6KA2,6196,"ribosomal protein S6 kinase, 90kDa, polypeptide 2",protein-coding,6q27
ACVR1,90,"activin A receptor, type I",protein-coding,2q23-q24,MCM5,4174,minichromosome maintenance complex component 5,protein-coding,22q13.1
ACVR1,90,"activin A receptor, type I",protein-coding,2q23-q24,NFATC4,4776,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4",protein-coding,14q11.2
ACVR1B,91,"activin A receptor, type IB",protein-coding,12q13,UHMK1,127933,U2AF homology motif (UHM) kinase 1,protein-coding,1q23.3
ACVR1B,91,"activin A receptor, type IB",protein-coding,12q13,MAPK8,5599,mitogen-activated protein kinase 8,protein-coding,10q11.22
ACVR1B,91,"activin A receptor, type IB",protein-coding,12q13,MAPK1,5594,mitogen-activated protein kinase 1,protein-coding,22q11.21
ACVR1B,91,"activin A receptor, type IB",protein-coding,12q13,MDM4,4194,Mdm4 p53 binding protein homolog (mouse),protein-coding,1q32
ACVR1B,91,"activin A receptor, type IB",protein-coding,12q13,SMAD4,4089,SMAD family member 4,protein-coding,18q21.1
ACVR1B,91,"activin A receptor, type IB",protein-coding,12q13,TDP2,51567,tyrosyl-DNA phosphodiesterase 2,protein-coding,6p22.3-p22.1
ACVR2A,92,"activin A receptor, type IIA",protein-coding,2q22.3,GNA12,2768,guanine nucleotide binding protein (G protein) alpha 12,protein-coding,7p22.2
ACVR2B,93,"activin A receptor, type IIB",protein-coding,3p22,PRKCB,5579,"protein kinase C, beta",protein-coding,16p11.2
ACVR2B,93,"activin A receptor, type IIB",protein-coding,3p22,EGFR,1956,epidermal growth factor receptor,protein-coding,7p12
ACVR2B,93,"activin A receptor, type IIB",protein-coding,3p22,ASAP3,55616,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3",protein-coding,1p36.12
ACVR2B,93,"activin A receptor, type IIB",protein-coding,3p22,TRIM26,7726,tripartite motif containing 26,protein-coding,6p21.3
ACVR2B,93,"activin A receptor, type IIB",protein-coding,3p22,SRXN1,140809,sulfiredoxin 1,protein-coding,20p13
ACVRL1,94,activin A receptor type II-like 1,protein-coding,12q13.13,ENG,2022,endoglin,protein-coding,9q34.11
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,PDGFRB,5159,"platelet-derived growth factor receptor, beta polypeptide",protein-coding,5q33.1
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,EIF4B,1975,eukaryotic translation initiation factor 4B,protein-coding,12q13.13
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,TBXA2R,6915,thromboxane A2 receptor,protein-coding,19p13.3
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,KCNIP3,30818,"Kv channel interacting protein 3, calsenilin",protein-coding,2q21.1
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,OPRD1,4985,"opioid receptor, delta 1",protein-coding,1p36.1-p34.3
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,SLC9A5,6553,"solute carrier family 9, subfamily A (NHE5, cation proton antiporter 5), member 5",protein-coding,16q22.1
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,TP53,7157,tumor protein p53,protein-coding,17p13.1
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,PDE6G,5148,"phosphodiesterase 6G, cGMP-specific, rod, gamma",protein-coding,17q25
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,CTTN,2017,cortactin,protein-coding,11q13
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,CLTB,1212,"clathrin, light chain B",protein-coding,5q35
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,BAD,572,BCL2-associated agonist of cell death,protein-coding,11q13.1
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,PQBP1,10084,polyglutamine binding protein 1,protein-coding,Xp11.23
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,RDX,5962,radixin,protein-coding,11q23
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,MC4R,4160,melanocortin 4 receptor,protein-coding,18q22
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,TUBB3,10381,"tubulin, beta 3 class III",protein-coding,16q24.3
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,CHRM2,1129,"cholinergic receptor, muscarinic 2",protein-coding,7q31-q35
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,FPR1,2357,formyl peptide receptor 1,protein-coding,19q13.4
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,RPLP2,6181,"ribosomal protein, large, P2",protein-coding,11p15.5
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,MAPK14,1432,mitogen-activated protein kinase 14,protein-coding,6p21.3-p21.2
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,ID2,3398,"inhibitor of DNA binding 2, dominant negative helix-loop-helix protein",protein-coding,2p25
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,SNCA,6622,"synuclein, alpha (non A4 component of amyloid precursor)",protein-coding,4q21
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,ZNF396,252884,zinc finger protein 396,protein-coding,18q12
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,EZR,7430,ezrin,protein-coding,6q25.3
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,MSN,4478,moesin,protein-coding,Xq11.1
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,HRH1,3269,histamine receptor H1,protein-coding,3p25
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,SNF8,11267,"SNF8, ESCRT-II complex subunit",protein-coding,17q21.32
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,ADRB2,154,"adrenoceptor beta 2, surface",protein-coding,5q31-q32
ADRBK1,156,"adrenergic, beta, receptor kinase 1",protein-coding,11q13.1,SMAD2,4087,SMAD family member 2,protein-coding,18q21.1
ADRBK2,157,"adrenergic, beta, receptor kinase 2",protein-coding,22q12.1,SSTR2,6752,somatostatin receptor 2,protein-coding,17q24
ADRBK2,157,"adrenergic, beta, receptor kinase 2",protein-coding,22q12.1,TBXA2R,6915,thromboxane A2 receptor,protein-coding,19p13.3
ADRBK2,157,"adrenergic, beta, receptor kinase 2",protein-coding,22q12.1,CCR5,1234,chemokine (C-C motif) receptor 5 (gene/pseudogene),protein-coding,3p21.31
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,ETS1,2113,v-ets erythroblastosis virus E26 oncogene homolog 1 (avian),protein-coding,11q23.3
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,CDCA7,83879,cell division cycle associated 7,protein-coding,2q31
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,NR4A1,3164,"nuclear receptor subfamily 4, group A, member 1",protein-coding,12q13
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,RPS20,6224,ribosomal protein S20,protein-coding,8q12
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,PDCD4,27250,programmed cell death 4 (neoplastic transformation inhibitor),protein-coding,10q24
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,ATXN1,6310,ataxin 1,protein-coding,6p23
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,MAPK8,5599,mitogen-activated protein kinase 8,protein-coding,10q11.22
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,XIAP,331,X-linked inhibitor of apoptosis,protein-coding,Xq25
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,CDK9,1025,cyclin-dependent kinase 9,protein-coding,9q34.1
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,CARHSP1,23589,"calcium regulated heat stable protein 1, 24kDa",protein-coding,16p13.2
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,TRIP10,9322,thyroid hormone receptor interactor 10,protein-coding,19p13.3
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,MAP3K8,1326,mitogen-activated protein kinase kinase kinase 8,protein-coding,10p11.23
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,TCEAL6,158931,transcription elongation factor A (SII)-like 6,protein-coding,Xq22.1
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,GSK3A,2931,glycogen synthase kinase 3 alpha,protein-coding,19q13.2
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,TBC1D1,23216,"TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1",protein-coding,4p14
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,CHGB,1114,chromogranin B (secretogranin 1),protein-coding,20pter-p12
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,FLNC,2318,"filamin C, gamma",protein-coding,7q32-q35
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,TWIST1,7291,twist basic helix-loop-helix transcription factor 1,protein-coding,7p21.2
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,YAP1,10413,Yes-associated protein 1,protein-coding,11q13
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,RARA,5914,"retinoic acid receptor, alpha",protein-coding,17q21
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,MAP3K11,4296,mitogen-activated protein kinase kinase kinase 11,protein-coding,11q13.1-q13.3
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,NUAK1,9891,"NUAK family, SNF1-like kinase, 1",protein-coding,12q23.3
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,SRPK2,6733,SRSF protein kinase 2,protein-coding,7q22-q31.1
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,SYTL1,84958,synaptotagmin-like 1,protein-coding,1p36.11
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,HCLS1,3059,hematopoietic cell-specific Lyn substrate 1,protein-coding,3q13
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,BMX,660,BMX non-receptor tyrosine kinase,protein-coding,Xp22.2
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,BCL10,8915,B-cell CLL/lymphoma 10,protein-coding,1p22
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,PLCG1,5335,"phospholipase C, gamma 1",protein-coding,20q12-q13.1
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,EDC3,80153,enhancer of mRNA decapping 3,protein-coding,15q24.1
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,HIST1H2BB,3018,"histone cluster 1, H2bb",protein-coding,6p21.3
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,XPA,7507,"xeroderma pigmentosum, complementation group A",protein-coding,9q22.3
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,CDK2,1017,cyclin-dependent kinase 2,protein-coding,12q13
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,ARHGAP22,58504,Rho GTPase activating protein 22,protein-coding,10q11.22
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,RAC1,5879,"ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)",protein-coding,7p22
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,METTL1,4234,methyltransferase like 1,protein-coding,12q13
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,ACIN1,22985,apoptotic chromatin condensation inducer 1,protein-coding,14q11.2
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,TBC1D4,9882,"TBC1 domain family, member 4",protein-coding,13q22.2
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,CHEK1,1111,checkpoint kinase 1,protein-coding,11q24.2
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,ID2,3398,"inhibitor of DNA binding 2, dominant negative helix-loop-helix protein",protein-coding,2p25
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,CCM2,83605,cerebral cavernous malformation 2,protein-coding,7p13
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,PIKFYVE,200576,"phosphoinositide kinase, FYVE finger containing",protein-coding,2q34
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,COPS6,10980,COP9 signalosome subunit 6,protein-coding,7q22.1
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,MISP,126353,mitotic spindle positioning,protein-coding,19p13.3
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,TP53RK,112858,TP53 regulating kinase,protein-coding,20q13.2
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,NCL,4691,nucleolin,protein-coding,2q37.1
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,SREK1,140890,splicing regulatory glutamine/lysine-rich protein 1,protein-coding,5q12.3
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,PPP1CA,5499,"protein phosphatase 1, catalytic subunit, alpha isozyme",protein-coding,11q13
AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32,PCBP2,5094,poly(rC) binding protein 2,protein-coding,12q13.12-q13.13
