Approved	Alias
TNFSF15	MGC129935
PLEKHA7	PLEKHA7
CDC7	CDC7L1
UBL3	DKFZP434K151
PATL2	PATL2
FGFR3P2	FGFR3P2
C14ORF119	CN119
CDK11A	PITSLRE
SMR3B	PRL3
GINS3	GINS3
SP9	ZNF990
PIDD1	MGC16925
RPS3AP28	RPS3AP28
UBA7	D8
TBRG4	H_TD2522F11.8
CTSL	CTSL
IGKV621	A26
HLADRB1	2B11
IGF2	C11ORF43
FCER1G	FCERG
BTBD3	DJ742J24.1
ZNF407	ZN407
ULK1	ATG1
RIC8B	RIC8B
LRRD1	LRRD1
HAUS5	DGT5
CFTRP1	DJ760C5.1
LITAF	FLJ38636
ATAD2B	ATAD2B
RPL23AP68	RPL23AP68
HSP90B3P	TRAP2
UPRT	RP11311P8.3
RPS27L	RS27L
CYCSP46	HCP46
TERT	TERT
SNORA44	SNORA44
IL10RB	D21S58
DCAF4L1	DCAF4L1
EPHA1AS1	EPHA1AS1
SLC43A3	S43A3
PYDC5	POP3
C11ORF49	C11ORF49
SLC15A2	PEPT2
H2BC12	H2BFT
SLC25A15P1	SLC25A15P1
LINC00467	C1ORF97
SNORD7	MGU647
ELOCP32	ELOCP32
FLT1P1	FLT1P1
GPATCH1	ECGP
ACTR1A	ACTZ
OR5P3	JCG1
PPIAL4C	PPIAL4C
KRTAP199P	KRTAP19P1
MBL2	MBL
ZNF735	ZNF735P
TUBB	TUBB
RNA5SP182	RN5S182
KIAA1211L	MGC42367
SNORD11510	SNORD11510
ADAMTSL4	TSRC1
CDON	CDON1
CYB5R3	CYB5R3
LARS1	LARS1
TRIM62	FLJ10759
DEFB127	DB127
TMEM64	TMM64
MIR73	MIRN73
ADGRL1	ADGRL1
HDLBP	HBP
PPP3CB	PPP3CB
ERICH3	ERICH3
OR4A6P	OR4A6P
PIEZO2	FAM38B
UBXN4	UBXD2
MIR421	HSAMIR421
SNTB2	SNTL
TBC1D32	DJ310J6.1
MTND1P23	MTND1P23
OXSR1	KIAA1101
CENPI	FSHPRH1
TEX55	FLJ32859
VN1R3	V1RL3
TSPAN31	TSN31
THAP11	THA11
CAMK2D	CAMKD
MIR493	MIRN493
CDYL	CDYL1
TMSB4XP6	TMSB4XP6
TRVAAC14	TRNAV1
WDFY1	WDFY1
TDRKHAS1	TDRKHAS1
KYNUP2	KYNUP2
DUSP6	MKP3
CXCL11	H174
KNSTRN	KINASTRIN
TES	TESTIN
MIR3907	HSAMIR3907
RNU61267P	RNU61267P
MARF1	PPP1R34
CHCHD2P7	CHCHD2P7
OR51J1	OR51J1P
PLA2G4C	PLA2G4C
C17ORF113	CQ113
USP54	USP54
CDH23AS1	NCRNA00223
RNU25P	RNU2P3
MIR1273H	HSAMIR1273H
MIR6729	HSAMIR6729
MIB2	ZZANK1
SNORD80	SNORD80
SEMA4D	COLL4
DOCK11	DOC11
KMT2C	HALR
MRPL12	RPML12
KCNK15	KIAA0237
GVINP1	FLJ13373
RADIL	RASIP2
HOXA13	HOXA13
SGCG	MAM
RFX6	DJ955L16.1
YME1L1P1	YME1L2
LTB4R2	BLTR2
RUVBL2	TIP48
LINC01574	HILNC12
USP34	KIAA0729
LINC00364	LNCRNA00364
PRAMEF17	OTTHUMG00000007909
PRR22	MGC24975
CYCSP11	HCP11
MTPN	V1
TSPOAP1	RIMB1
TRLCAG12	TRLCAG12
IGLV552	IGLV552
CLIP1	CLIP1
RTL4	SIRH11
RN7SL384P	RN7SL384P
CACNA1D	CAV1.3
HMGB3P2	DJ550H1.1
MINDY2	MINY2
MYO5B	MYO5B
TNIK	TNIK
OR9G9	OR9G9
HCAR1	FKSG80
MIR381	MIRN381
TRDD3	TRDD3
MIR3173	HSAMIR3173
TTC29	TTC29
RNU6561P	RNU6561P
USP17L9P	USP17
CARTPT	CART
AVPI1	AVPI1
GNL3LP1	FLJ12595
ACSL1	LACS
RNA5SP203	RN5S203
TAF4	TAFII135
IMPDH1P6	IMPDH1P6
CCDC81	CCDC81
FTX	MIR374AHG
TMEM131	KIAA0257
WDFY3	KIAA0993
ZCCHC4	HSPC052
CCDC171	EM:AL513423.1
KCNF1	KCNF
NCF4	SH3PXD4
TRLCAG14	TRNAL35
TRPC6P	TRPC6P
SNORD3D	RNU34
BCOR	KIAA1575
NRSN2	C20ORF98
RNU6505P	RNU6505P
OGG1	HOGG1
METTL24	METTL24
DSG2	DSG2
RNA5S4	RN5S4
RASGEF1C	RASGEF1C
NCR2	CD336
CYCSP3	HS7
C2ORF49	ASHWN
RNU6907P	RNU6907P
KLHL41	KLH41
CHEK1	CHK1
FAUP1	FAU1P
MNS1	SPATA40
LPAR1	LPA1
LINC01300	LINC01300
PCDHA11	PCDHALPHA11
AZGP1	AZGP1
LINC02198	LINC02198
KDM5C	SMCX
FPGS	FOLC
MRPL51	CDA09
SOAT1	SOAT
ZBTB20	ZBT20
PTGES3	P23
LRRC3C	LRR3C
PRB1	PM
RPL21P23	RPL21P23
PRMT8	PRMT8
RIPPLY2	C6ORF159
CNTNAP3C	A0A1B0GTE1
ACTR6	ACTR6
SLC9B1P3	SLC9B1P3
MRPL16	MRPL16
TRQCTG15	TRQ1
CTDSPL2	CTDSPL2
TMEM185AP1	TMEM185AP1
H4C14	H4/N
B4GALT6	B4GALT6
SCX	BHLHA41
RNU6647P	RNU6647P
FAT1P1	DJ697P8.1
BLOC1S5	BLOC1S5
LRRFIP1	LRRFIP1
ALDH1A3	ALDH1A3
DRC3	LRRC48
KIAA1549L	K154L
MAP1LC3C	ATG8J
DEFA7P	DEFA7P
PGLYRP4	PGLYRP4
CYB5B	CYB5M
DFFA	DFFA
AKR1B10P1	AKR1B10P1
IGSF22	IGSF22
RNU6399P	RNU6399P
MIR6795	MIR6795
ARHGEF7	P85SPR
LINC00430	LINC00430
AFG3L2	AFG32
NUDT19	NUDT19
LRRC1	DJ523E19.1
CXADR	CXAR
SLC25A3	MPCP
CWF19L1	HDRN1
GAPDHP15	B55C20.4
LRRN2	LRRN5
CD226	PTA1
LINC02084	LINC02084
GPATCH2	GPATC2
LRRC8E	LRRC8E
MARCHF2	HSPC240
SCO1	SCO1
TRIM60P6Y	TRIM60P6Y
SYCE1	SYCE1
NAT16	C7ORF52
SFTPB	PSPB
TENM3AS1	TENM3AS1
OR13C5	OR13C5
POTEA	POTE8
NDFIP1	NFIP1
LINC01238	FLJ40615
TRKCTT23	TRK2
RNF216IT1	RNF216IT1
ATP2C2	KIAA0703
LINC002662P	NCRNA002662P
HNRNPA3P10	HNRNPA3P10
VWA7	VWA7
CCDC175	CC175
TRGV10	A0A0A0MS01
L2HGDH	FLJ12618
BRD7P6	BRD7P6
TRBV51	TCRBV5S1
RN7SL720P	RN7SL720P
ZNF415	ZN415
CISD2	MINER1
PITPNM1	RDGB1
HDGFL2	HRP2
FAM131B	KIAA0773
KCNK18	TRESK2
NCAM1	CD56
TRCGCA24	TRNAC29
TREML3P	TREML3P
PPCDC	FLJ14585
RNU6185P	RNU6185P
PROK2	PROK2
TNFRSF10C	CD263
RPS13P4	RPS13P4
ATG13	KIAA0652
HAS1	HAS1
KIAA1109	TWEEK
IGFBP1	IGFBP1
MYCLP2	MYCLP2
SEC31A	SEC31L1
PLOD3	LH3
SNORD11419	14Q(II19)
ZBTB43	ZBT43
ZNF189	ZNF189
NXN	NRX
RUFY2	KIAA1537
MIR6847	MIR6847
HSP90AA1	HSP90
GDPGP1	GDPGP1
SNORA50A	SNORA76A
FAM215A	C17ORF88
TMEM190	TMEM190
LINC00662	LINC00662
KRTAP1011	KAP18.11
NLRP3	MWS
RPL13A	TSTA1
RNA5SP33	RN5S33
LINC01617	NCRNA00249
RPL7AP48	RPL7AP48
TAS2R68P	PS7
KIAA0100	DKFZP686M0843
DPY19L4P1	DPY19L4P1
CCDC88B	GIPIE
LMO2	TTG2
SSC4D	S4DSRCRB
MIR3150B	MIR3150B
PITRM1	MP1
SNORA81	SNORA81
HADH	HCDH
ATXN10	ATX10
RNA5SP199	RN5S199
REXO1L8P	REXO1L8
FBXL19	FXL19
OR2AG1	OR2AG1
MIR6819	HSAMIR6819
RPS26	ES26
NDUFA9	NDUFA9
LLGL1	LLGL1
OR7A2P	OLF4P
ECEL1P1	ECEL1P1
TTTY21	NCRNA00146
RBMS2	RBMS2
STPG4	C2ORF61
POM121L13P	POM121L13P
ZFP69B	ZSCAN54B
PTGR1	LTB4DH
LINC01288	LINC01288
CXCR4	HM89
JADRR	LINC00915
SMIM11A	SMIM11
CTNNA2	CTNNA2
ANP32B	AN32B
PAAF1	RPN14
GPT	GPT
PRSS12	PRSS12
ZRANB2	ZIS1
EEF1A1	EF1A
TRBV62	TRBV62
NR4A3	NOR1
TMEM198B	TMEM198B
EHBP1L1	TANGERIN
PTGES3	TEBP
LY6G6D	MEGT1
WASHC2C	WAC2C
LINC02762	LINC02762
PHF2	PHF2
C10ORF82	C10ORF82
MIR3185	HSAMIR3185
COPS9	COPS9
GTF2IP12	GTF2IP12
ANP32AIT1	C15ORF28
INTS4P2	INTS4P2
TSPAN33	MGC50844
MYH4	MYH2B
RNU629P	RNU629
DSCR9	DSCR9
SPAM1	HYAL5
HSP90AA1	HSP90AA1
INSIG1	MGC1405
HDAC1	HDAC1
MOV10L1	DKFZP434B0717
PAFAH1B1P2	PAFAH1P2
RNA5SP182	RNA5SP182
ATP1A2	AT1A2
OR7E160P	OR7E160P
CSF1R	CSF1R
AP1M1	CLAPM2
DNAJC4	MCG18
DPY19L1	DPY19L1
PCGF1	MGC10882
TBC1D29P	TBC1D29P
RNU492P	RNU492P
NETO1	BCTL1
CAV1	CAV
ITGB7	ITGB7
RN7SL311P	RN7SL311P
MRX26	MRX26
OGFOD2	FLJ13491
FIS1	TTC11
NIPSNAP3A	DKFZP564D177
PRKDC	XRCC7
PRAMEF20	PRA20
WDR31	WDR31
SHC1	SHC
SAMD4B	SMGB
ZNF663P	ZNF663P
THAP12	THAP0
TRETTC42	TRNAGLUTTC42
RPL13AP23	RPL13AP23
IRF7	E9PQ11
SLC25A41	MGC34725
TRQCTG51	TRNAGLNCTG51
RCSD1	MGC21854
DNM1P44	DNM1DN11@
KRT6A	KRT6D
CACNA1E	CACNA1E
POLR1E	PRAF1
TECPR1	KIAA1358
LCE1A	LCE1A
SCGB2A2	SG2A2
MTMR14	FLJ22405
ZNF197AS1	ZNF197AS1
MED14	CRSP2
MTCO1P37	MTCO1P37
ATP6V1H	SFD
USP9YP14	USP9YP14
TEKT2	TEKT2
FOXC2AS1	FOXC2AS1
ARHGAP15	ARHGAP15
TRTAGT41	TRNATHRAGT41
SLC7A5	SLC7A5
WDR74	NSA1
MIR548AS	HSAMIR548AS
LINC01668	LINC01668
LILRB4	LILRB4
INPP5K	SKIP
SKIL	SNOA
RN7SL754P	RN7SL754P
UBA52P3	UBA52P3
MRC1	CLEC13D
RNU6883P	RNU6883P
SLC16A1	SLC16A1
FAU	FLJ22986
VPS13C	VPS13C
SNORD11527	HBII5227
RPL12P38	RPL12P38
GIGYF2	GGYF2
RN7SL271P	RN7SL271P
ERVK11	C3_E
MIR13022	HSAMIR13022
EYS	BA166P24.2
STATH	STATH
SH3PXD2A	SH3PXD2A
CASP2	PPP1R57
MPST	THTM
PI4KAP2	PI4KAP2
RN7SL616P	RN7SL616P
RNU6888P	RNU6888P
BRCA2	FAD1
UBE2F	UBE2F
BOLA3AS1	BOLA3AS1
TMCC3	TMCC3
MEX3D	TINO
ZSCAN12P1	ZNF96L1
LINC01955	LINC01955
ZHX1	ZHX1
BASP1P1	BASP1P1
OR7E109P	OST721
PPP2R2A	PR52A
AWAT1	AWAT1
MIR4527HG	MIR4527HG
AKR1B10	AKR1B10
IGHV3OR1616	IGHV3/OR1616
MSANTD1	C4ORF44
ASTL	OVASTACIN
TMEM225B	TMEM225B
MROH1	HEATR7A
DESI2	PNAS4
DYDC2	BA36D19.6
ARHGEF1	ARHGEF1
RPS4XP7	RPS4XP7
LINC02396	LINC02396
NGEF	NGEF
TTC28AS1	KIAA1648
PRY	PRY1
MTTH	TRNH
MIR548Y	HSAMIR548Y
RBPMS2P1	RBPMS2P1
SH3KBP1	CIN85
ARL2BPP2	BCM1040
PCDH17	PCD17
DIXDC1	DIXDC1
BRI3BP	BRI3BP
MAP7D1	MAP7D1
RNA5SP448	RN5S448
DPY30	DPY30
FYTTD1	FYTTD1
NOS1	NNOS
CILP2	MGC45771
LINC02731	LINC02731
HDHD3	MGC12904
AKAP6	MAKAP
TRIM60	FLJ35882
EGFLAMAS4	EGFLAMAS4
ERBB4	ALS19
PLAT	TPA
SERTM2	LINC00890
RNA5SP364	RNA5SP364
MIR583	MIR583
SPATA21	SPERGEN2
FAS	TNFRSF6
MIR4637	MIR4637
RN7SL503P	RN7SL503P
NDUFA4P2	BCM1723
SERPINC1	ATIII
CFH	HF1
LAP3	PEPS
FGFR1OP	FGFR1OP
MAP1S	BPY2IP1
DEFB104A	DEFB4
MST1	D3F15S2
TOLLIP	IL1RACPIP
LINC00261	FALCOR
ARPC2	ARPC2
CHCHD6	MIC25
RNU6439P	RNU6439P
SRSF11	SRSF11
A3GALT2	A3LT2
LINC01778	LINC01778
TRAPPC1	TPPC1
ZBTB32	ROG
SUMO4	SMT3H4
MIR3157	HSAMIR3157
RPL13AP21	RPL13AP21
LCMT1AS2	LCMT1AS2
SPTLC1	SPTLC1
SCART1	CD163CALPHA
RHOBTB3	RHBT3
SMN2	A0A1W2PRV5
PDZD7	PDZK7
CCL16	SCYL4
TPM3P6	TPM3P6
LINC00472	FLJ13189
GTF3C3	TF3C3
PLSCR1	MMTRA1B
PCED1BAS1	PCED1BAS1
PIM1	PIM1
ABCA3	LBM180
SLC25A17	PM34
DCAF16	DCA16
FAF2	UBXN3B
PRMT6	PRMT6
SLX4IP	DJ1099D15.3
PIWIL3	HIWI3
DNM1P30	DNM1DN4@
OR8U9	OR8U9
RBM39	RBM39
SMURF1	KIAA1625
GOLM1	GOLPH2
TADA3	FLJ21329
HMGB1P32	HMGB1P32
RPS17	A0A075B716
FOXD4L1	FX4L1
YAP1P3	YAP1P3
SNF8	EAP30
MIR548O	MIRN548O
ELOCP3	TCEB1P3
BRICD5	BRID5
CPSF4L	CPSF4L
KNOP1P5	KNOP1P5
SNORD13B2	SNORD13B2
GCASPC	LNCSOD21
GLC1J	JOAG2
ALX4	PFM2
MYO5C	MYO5C
ICE1	ICE1
RNU6530P	RNU6530P
ANTXR1	ANTR1
TTC19	FLJ20343
IGKV112	L19
RMI2	BLAP18
SUN1	SUN1
NCCRP1	FBXO50
DIRAS2	DIRA2
MPG	MPG
TCP11L1	FLJ11336
SGIP1	SGIP1
BRCC3	C6.1A
ZNF180	ZNF180
MIR328	MIR328
RNA5SP115	RNA5SP115
HEPACAM2	HEPACAM2
RN7SL1	RNSRP1
MSRB2	CBS1
OR4F6	OR4F12
MSANTD3	MSD3
GRIK2	GRIK2
TRNGTT91	TRNAASNGTT91
AKAP1	PRKA1
PPP2CA	PP2AA
RPS24	RS24
MIR4721	HSAMIR4721
RN7SL716P	RN7SL716P
RN7SL441P	RN7SL441P
PCDHB10	PCDHB10
FAM169A	FAM169A
DTWD2	FLJ33977
MIR3133	HSAMIR3133
CDKN2A	CDK4I
KCNAB2	AKR6A5
CHMP4B	VPS32B
LINC00092	BA346B7.1
STEAP3	STEAP3
TRACGC31	TRNAA4
ALOX15	ALOX15
EIF2AK1	E2AK1
CTSLP2	CTSL1P7
LAMTOR4	LAMTOR4
KLF14	KLF14
KPNB1	NTF97
SLC25A29	SLC25A29
TFDP1P	TFDP1P
TMEM141	TM141
MAML1	KIAA0200
TMPRSS2	TMPS2
FAM200B	C4ORF53
MIR450A2	HSAMIR450A2
SARS1	SARS
MIR3649	HSAMIR3649
MIR122	HSAMIR122
MIR6866	MIR6866
TNFSF4	OX40L
GARNL3	GARL3
IFNGAS1	IFNGAS1
NUDT4	DIPP2ALPHA
MTCO1P5	AC026166.2001
LINC00339	HSPC157
PSIP1P1	PSIP1P1
USP17L9P	USP17L9P
KRT8P15	KRT8P15
RIPOR3	FAM65C
TSPAN32	TSSC6
H2AC14	H2A1J
ZXDC	MGC11349
WDR74	FLJ10439
TMEM30CP	TMEM30C
YBX1	YB1
LPAL2	APOAL
AGGF1	VG5Q
TUSC2	C3ORF11
PTPN20	PTPN20
TRIM29	ATDC
CDKN1C	CDKN1C
LIPA	LAL
MTND6P7	MTND6P7
PET117	CSRP2BP
SLC12A3	NCCT
YEATS2	YETS2
LINC00229	C22ORF10
BLACAT1	LINCUBC1
LINC02803	LINC02803
CMBL	CMBL
CCNDBP1	HHM
FRA2A	FRA2A
ERCC3	XPB
NUP214	N214
NAA50	MAK3
DUSP16	MKP7
RPN2	RPNII
DEFB105A	DEFB105A
LRFN4	SALM3.
MIR4753	HSAMIR4753
CASZ1	CST
TMEM132D	TMEM132D
ADGB	CAPN16
VWCE	FLJ32009
TNFRSF10D	TNFRSF10D
NPM1P39	NPM1P39
OR1M1	OR196
RPL21	MGC104274
CDH15	CDH15
ELAVL3	HUCL
UBQLN2	UBQLN2
HIP1R	HIP1R
PSD2	EFA6C
CYP4F27P	CYP4F27P
TRETTC151	TRNAGLUTTC151
RN7SL870P	RN7SL870P
NECTIN2	NECT2
PCK2	PEPCK
NDUFAF4P4	NDUFAF4P4
ACOT2	ZAP128
RN7SKP105	RN7SKP105
KCNK6	KCNK6
PIBF1	CEP90
MIR6089	MIR60891
AKIRIN1P2	AKIRIN1P2
RNU6429P	RNU6429P
CSN1S1	CSN1
TRBV16	TCRBV16S1
SAPCD2	SAPC2
PVR	CD155
ASZ1	CT1.19
RN7SL622P	RN7SL622P
CEP76	HST1705
HMGN2P20	HMGN2P20
TRQCTG101	TRQCTG101
PUM3	KIAA0020
HMGB3P7	HMGB3P7
FAR2P4	FAR2P4
ZNF382	ZN382
L3MBTL1	KIAA0681
JADE3	PHF16
SEMA3BAS1	SEMA3BAS1
TRCGCA94	TRCGCA94
CICP21	CICP21
RAVER1	RAVR1
AP3B2	NAPTB
GCNT3	C2GNT2
RN7SKP54	RN7SKP54
NMTRSTGA31	NMTRSTGA31
BTF3P8	BTF3P8
MYO1C	MYR2
ATG3	DKFZP564M1178
PCDHGB7	PCDGJ
PVR	HVED
PPP1R3E	PPP1R3E
CDRT13	CDRT13
TMEM109	MGC5508
LINC02759	LINC02759
TRGVA	TCRGVA
CCR5	IDDM22
CCNYL2	CCNYL2
SGMS2	MGC26963
RPAP2	C1ORF82
KRTAP1910P	KRTAP19P2
PLEKHA8	MGC3358
SHMT2	SHMT
IGKV1OR15118	IGKVP2
IDO1	IDO
SDF4	SDF4
PKD1P3	PKD1P3
DCUN1D3	SCCRO3
OFD1P7Y	OFD1PY7
SPIC	SPIC
LRRIQ1	FLJ12303
SNORD107	SNORD107
TUBB4B	BETA2
PAGR1	C16ORF53
ZNF70	COS17
LINC02217	LINC02217
TNR	TNR
PSG5	PSG
LINC00917	LINC00917
KRTAP1012	KRTAP1012
MTOR	MTOR
LINC00524	C14ORF71
FANCG	FAG
OARD1	C6ORF130
TRAV81	TVA81
ST13	ST13
RPS12P1	RPS12P1
EZHIP	CXORF67
PNKD	DYT8
TMEM163	TM163
MIR200CHG	U47924.27
PPWD1	PPWD1
FNBP1	FBP17
NKAPD1	FLJ10726
PLEKHA3	PLEKHA3
RNASEH2CP1	AYP1P1
HSPA2	HSPA2
PPP4R3B	PSY2
NR2C1	TR2
SETP5	SETP5
TMPRSS6	FLJ30744
MAP3K12	MUK
ATP6V0E1P2	ATP6V0E1P2
SPATA31A1	C9ORF36A
PNOC	NOP
KLRK1	CD314
AHCYL2	SAHH3
ANXA2	CAL1H
COTL1	CLP
MIR3692	MIR3692
MATN1	CRTM
IL22	MGC79384
DEPDC1B	DEP1B
TMEM67	JBTS6
APOBEC1	ABEC1
GNL3	NS
SNORD100	HBII429
MTCO2P21	MTCO2P21
EXOSC6	EAP4
UROC1	FLJ31300
MITF	MI
USH1G	SANS
CSNK2A1	CKA1
PLCG1	PLC1
MIRLET7A1	MIRNLET7A1
RNASE11	C14ORF6
OPN3	PPP1R116
PGBD3	PGBD3
CSF2RBP1	CSF2RBP1
SEPTIN7AS1	SEPTIN7AS1
MIR21	MIRN21
WDR31	FLJ35921
TMSB4X	TMSB4X
ZNF99	ZNF99
MTLIPCAR	UC022BQS.1
PCDHA2	PCDA2
LINC02715	LINC02715
FCRLA	FCRLA
SUSD1	DKFZP761E1824
ACSL6	ACS2
PCNX4	C14ORF135
TRWCCA31	TRWCCA31
ABCC8	ABC36
STRADB	ILPIPA
RNU61066P	RNU61066P
TPT1P5	TPT1P5
FASTKD1	FASTKD1
ATG16L2	FLJ00012
RRP36	RRP36
RIPOR3	C20ORF176
YIPF7	YIPF7
NIBAN3	NIBL2
TAS2R18P	TAS2R65
TTC39B	C9ORF52
ZNF165	ZSCAN7
PRELID1	PX19
NPM1P48	NPM1P48
RHOXF2	PEPP2
MEG3	MEG3
MIR100HG	AGD1
MLX	MLX
DEFB108C	DEFB108P2
SRSF5	SFRS5
APOC1P1	LINCRNAAPOC1P13
IL13RA2	I13R2
MIR890	HSAMIR890
DOCK11	DOCK11
PVR	PVR
AKAP2	AKAP2
RASA4B	RASA4B
ELF2P3	ELF2P3
MAPKAP1	SIN1
RN7SKP149	RN7SKP149
ADAM18	TMDCIII
RPRD1B	KUB5HERA
DLGAP2	ERICH1AS1
RNU6300P	RNU6300P
NPNT	NPNT
ARHGAP35	P190A
HELLS	SMARCA6
FAM8A4P	FAM8A4P
SCN10A	PN3
GOLM1	C9ORF155
RNU188P	RNU188P
RNA5SP311	RN5S311
HDAC11	HDAC11
LINC00261	HCCDR1
EIF4ENIF1	CLAST4
CYP11B2	C11B2
TMEM132B	T132B
CPT1B	CPT1M
RTN4RL2	NGR2
RIIAD1	FLJ36032
TUSC8	XLOC_010588
MIR42831	MIR42831
PFN1P3	PFN1P3
TCTE3	TCTE3
ADAMTS7P1	ADAMTS7P1
ZC2HC1C	FAM164C
FTH1P12	FTH1P12
PSAT1	SERC
TUBAP2	TUBAP2
ZNF420	ZNF420
LRRC29	LRRC29
CCT6A	TTCP20
PHBP16	PHBP16
IRX5	IRX2A
HTATIP2	FLJ26963
TRTAGT12	TRNATHRAGT12
ZMAT2	FLJ31121
TSPAN19	TSPAN19
GPC3	SGBS1
DCP1A	SMAD4IP1
LHB	LSHB
SLCO1B3	OATP1B3
PITPNM2	RDGB2
RN7SL727P	RN7SL727P
ALDH6A1	ALDH6A1
SNORD1157	SNORD1157
NOL6	UTP22
REXO1L11P	REXO1L11P
PF4V1	SCYB4V1
RN7SKP32	RN7SKP32
PUDPP2	HDHD1P2
PLXND1	KIAA0620
TRBV101	TCRBV10S1
LINC01919	LINC01919
GUSBP8	GUSBP8
KDM4C	KDM4C
DROSHA	RNASE3L
PRPSAP2	KPRB
LIN7B	MALS2
TRRCCT51	TRNAARGCCT51
PITPNM1	PITPNM
GSTP1P1	GSTPP
TMEM262	TM262
L3MBTL2	DJ756G23.3
FREM2	DKFZP686J0811
ZAR1	ZAR1
ANK2	ANK2
MIR449A	MIRN449
OR4C10P	OR4C10P
HMGCS1	HMCS1
CDKL2	KKIAMRE
CES1P1	CESR
LINC00240	BA373D17.1
FRMD4A	BA295P9.4
ZNF582	ZNF582
MDH1	MDH1
PSMG1	PSMG1
UCK1	FLJ12255
ZNF962P	ZNF962P
TRRTCG31	TRNAR25
ZNF510	ZNF510
WBP1LP9	WBP1LP9
TRNGTT92	TRNAASNGTT92
MIR4253	MIR4253
TMCO3	C13ORF11
ZNF48	ZNF553
MRPL13	RM13
IGHV352	IGHV352
MLXIPL	MIO
GLI3	PAPA
H2AC8	H2A.1
FAM104B	FLJ20434
MS4A14	MS4A14
RPSAP38	RPSAP38
RPSAP12	LAMRL2
RNU6757P	RNU6757P
G2E3AS1	CAT1647
RPL31P18	RPL31P18
REEP4	FLJ22246
MRPS10P5	MRPS10P5
U2AF1	RNU2AF1
PQBP1	MRX55
ZNF773	ZN773
ARHGEF39	FLJ14642
OR10G2	OR10G2
TAOK2	TAOK2
FZD4	CD344
MTND4LP27	MTND4LP27
NGDN	LCP5
SLC49A3	LP2561
OR2S1P	OR2S1P
ZFC3H1	ZC3H1
CDPF1	LOC150383
TMEM216	TM216
UPP1	UPP
THAP8	THAP8
TFAM	TFAM
A1CF	ASP
ODF3L2	FLJ40059
MALAT1	PRO1073
ANKRD36BP1	MGC12538
GPHN	KIAA1385
MRPL57P1	MRPL57P1
PCDHGB5	PCDGH
CACTIN	FSAPC
ERLIN2	ERLN2
MAEL	SPATA35
IQCA1L	TCAG_9762
NLRP11	PAN10
RN7SL687P	RN7SL687P
PTH	PTH1
MTCO1P24	MTCO1P24
GPCPD1	GDE5
SMG8	FLJ10587
ERI2	ERI2
CRYZP1	CRYZP1
STEAP4	STEA4
ERGIC2	ERGIC2
SYNJ2BPCOX16	A0A087WYV9
FAM172A	C5ORF21
MIR548AU	HSAMIR548AU
OR7E108P	OR7E108P
TMEM108	CT124
RNA5SP195	RNA5SP195
OR11L1	OR11L1
RNA5SP533	RNA5SP533
GLYCTK	GLCTK
PTRHD1	C2ORF79
RACGAP1P	FKSG42
METTL14	KIAA1627
LYPD3	C4.4A
EIF5	IF5
ITPA	DJ794I6.3
POMGNT1	PMGT1
OR7E110P	OR7E68P
LINC01730	LINC01730
HULC	HULC
PHF10P1	PHF10P1
TRIM2	RNF86
NIP7	KD93
LRRC17	P37NB
PDYN	ADCA
TEKT4P1	TEKT4P1
LRRTM2	LRRT2
SNORD47	RNU47
NR3C2	MCR
C1ORF167	CA167
CHST15	CHST15
RPL9P3	RPL9P3
DUX4L17	DUXY3
HCP5B	P5.9
TIGD5	TIGD5
ARHGEF25	GEFT
VIPR1	VPAC1R
TVP23BP1	TVP23BP1
LMLNAS1	LMLNAS1
SCYGR6	SCGR6
SERINC3	SERINC3
ATP2B2	ATP2B2
DGCR2	IDD
FRMD6	C14ORF31
CCDC163	C1ORF231
GRIN2C	NMDAR2C
TFDP3	TFDP3
KDM1B	KDM1B
SFI1	PPP1R139
HPCAL1	HPCL1
RN7SL840P	RN7SL840P
DERL2	FLAN1
COBLL1	COBL1
PIRC105	PIRC105
TICAM2	TCAM2
CMKLR1	CMKLR1
CYB5B	CYB5B
HYOU1	ORP150
GRPEL1	FLJ25609
PDZD4	PDZK4
MAN1C1	MA1C1
CAPNS1	30K
RBM17	MGC14439
SLC38A11	FLJ39822
RNA5SP421	RNA5SP421
TRIP12	TRIP12
SPATA2	SPAT2
SYNE1	KIAA0796
RPL36AP48	RPL36AP48
OR4D10	OR4DA
TSPY16P	TSPY16P
PTCHD4	FLJ41841
KIR2DL5A	CD158F
BCYRN1P1	BC200B
DPYSL4	DRP4
OR52B1P	OR52B1P
DNM1P32	DNM1DN45
IP6K3	INSP6K3
TMEM263	C12ORF23
GCM2	GCM2
CCT8	CCT8
RTP1	RTP1
LINC00355	LINC00355
TMEM217	DJ355M6.2
SPAG11B	HE2
PLK2	PLK2
UBOX5	KIAA0860
TACR2	NK2R
IFI35	IN35
UBE2Q2L	UBE2Q2L
RPS3AP5	RPS3AP5
ALDH1B1	ALDH1B1
LINC02561	LINC02561
MAGEB6B	MAGEB6B
SLC26A5	PRES
SIN3A	DKFZP434K2235
SCAI	FLJ36664
TUBB8B	TUBB8P12
RNA5SP186	RNA5SP186
FBXL7	KIAA0840
MIR377	HSAMIR377
LINC00479	LINC00479
RN7SKP256	RN7SKP256
AQP7	AQPAP
CROCCP1	CROCCP1
BTG2	PC3
SEMA3B	SEMA
MIR548Z	HSAMIR548Z
CWC22	KIAA1604
DCHS1	KIAA1773
PGAM4	PGAM4
KRTAP221	KR221
C4ORF54	CD054
RNU663P	RNU663P
